Original Label,Normalized Label,Category,Unit
Service Charge: Customer   in each month [ including New,customer_charge,fixed,$/month
Summer Demand Charge: Distribution Charge Remainder       **       **,distribution_charge,demand,$/kW
Annual Demand Charge: Bills are due on presentation subject to a late pay ment charge at the rate of % per monthly,demand_charge,demand,$/kW
Annual Demand Charge: billing period in accordance with Section  of  the Standard Terms and Conditions Service to a,demand_charge,demand,$/kW
Annual Demand Charge: per kilowatt of highest Monthly Peak,demand_charge,demand,$/kW
"Annual Demand Charge: shall be in accordance with Section , Measurem ent of Electric Servic e, of the Standard Terms",demand_charge,demand,$/kW
Service Charge: (d-) A credit of  ( including SUT) per  kilowatt of Monthly Peak Demand shall apply,demand_charge,demand,$/kW
Service Charge: (d-) A credit of  ( including SUT) per kilowatt of Monthly Peak Demand  shall apply,demand_charge,demand,$/kW
"Service Charge: as designated in Standard Terms and Conditions , Section , High Voltage Service, and",unrelated_boilerplate,notes,N/A
Service Charge: be subject to a monthly Service Charge of  ( including SUT) in lieu of the,unknown,unknown,unknown
"Annual Demand Charge: for paperless billing, of the outstanding bill and subject to  a late payment charge at the rate of %",demand_charge,demand,$/kW
Annual Demand Charge: per monthly billing period in accordance with Section  of the Standard Terms and Conditions,demand_charge,demand,$/kW
"Annual Demand Charge: for paperless billing, of the outstanding bill and subject to a late payment charge at the rate of %",demand_charge,demand,$/kW
"Annual Demand Charge: shall be in accordance with Section , Measurement of Electric Servic e, of the Standard Terms",demand_charge,demand,$/kW
Service Charge: (d-) A credit of  ( including SUT) per kilowatt of Monthly Peak Demand shall apply,demand_charge,demand,$/kW
Service Charge: be subject to a monthly Service Charg e of   ( including SUT) in lieu of the,unknown,unknown,unknown
"Service Charge: designated in Standard Terms and Conditions, Section , High Voltage Service, and",unrelated_boilerplate,notes,N/A
"Annual Demand Charge: accordance with Section , Measurement of Electric Service, of the Standard Terms and",demand_charge,demand,$/kW
Annual Demand Charge: monthly billing period in accordance with Section  of the Standard Terms and Conditions Service,demand_charge,demand,$/kW
"Annual Demand Charge: paperless billing, of the outstanding bill and subject to a late payment charge at the rate of % per",demand_charge,demand,$/kW
Service Charge: (d-) A credit of  ( including SUT) per kilowatt of Monthly Peak Demand shall apply to,demand_charge,demand,$/kW
"Service Charge: designated in Standard Terms and Conditions, Section , High Voltage Service, and customer and",customer_charge,fixed,$/month
Service Charge: monthly Service Charg e of  ( including SUT) in lieu of the otherwise applicable Service,unknown,unknown,unknown
"Summer Demand Charge: (h) Veterans’ Organization Service:   Pursuant to NJSA :-, when electric service is",demand_charge,demand,$/kW
"Summer Demand Charge: Act,’ NJS A :- et seq”  Under NJSA : - , a qualified Veterans’ Organization shall be",demand_charge,demand,$/kW
Summer Demand Charge: Organization as defined by NJSA :-  as “an organization dedicated to serving the needs of,demand_charge,demand,$/kW
Service Charge: Customer  in each month [ including New Jersey Sales and Use,customer_charge,fixed,$/month
Summer Demand Charge: Including SUT,demand_charge,demand,$/kW
Summer Demand Charge: Off-Peak,demand_charge,demand,$/kW
Summer Demand Charge: On-Peak,demand_charge,demand,$/kW
Service Charge: Customer   in each mont h [ including New Jersey,customer_charge,fixed,$/month
